,$SPY,$QQQ,$PYPL,$VIX,$MSFT ,$BABA,$DIS,$AMZN,$AMD,$ADBE,$PLTR,$TSLA
ATM (3/22/25),563.98,480.84,70.19,19.28,391.26,135.14,99.46,196.21,106.44,387.26,90.96,248.71
WEM,10.845,11.615,2.57,3,9.745,6.33,2.835,6.23,4.56,9.925,6.385,17.785
WEM Spread,1.92%,2.42%,3.661%,13.148%,2.491%,4.684%,2.850%,3.175%,4.284%,2.563%,7.020%,7.151%
Delta 16 (+),576.5,494,72.3,25,402,143.5,102.75,204.75,112.25,402,99,272.5
Straddle 2,574.825,492.455,72.76,22,401.005,141.47,102.295,202.44,111,397.185,97.345,266.495
Straddle 1,553.135,469.225,67.62,17,381.515,128.81,96.625,189.98,101.88,377.335,84.575,230.925
Delta 16 (-),551,466,67.5,17.5,378.5,128,96.1,188.5,101.5,375,83,228
Delta Range,25.5,28,4.8,7.5,23.5,15.5,6.65,16.25,10.75,27,16,44.5
Delta Range %,4.521%,5.823%,6.839%,38.900%,6.006%,11.470%,6.686%,8.282%,10.100%,6.972%,17.590%,17.892%
Notes,,,,,,,,,,,,
"1.) $SPY - Do or Die Zone, 571 Fib 61.5% (Aug 2024 - Jan 2025), election gap. Watch for $VIX response at DoD level
2.) $QQQ - Do or Die Zone, Fib 61.5% (Aug 2024 - Jan 2025), election gap. Questions where is the LoH(D) and will there be a LoH(W) ? 
3.) $PYPL - nice weekly hold at confluence (66.5-68), 6K begin to DCA roll down and out for Dec 19 2025 ~0.45 delta 
4.) $VIX - she gives and takes, insane IV crush across prems. If brace for full drawdown, another 50% on prems. Hedge or hold? 
5.) $TSLA - watching for equity 
6.) $MSFT - Fib 61% 404.6 (Sept 2023 - July 2024) and support (D), CL (W) 480ish 
7.) $BABA - looking for holds at the bottom of range, need good risk management since very gappy 
8.) $DIS - looking for puts at LoH(D)
9.) $AMZN - watch for TR play 
10.) $AMD - watch 105-106 breakout, look above and fails, CnH(D) handle forming, bullish divergence? 
11.) $ADBE - possible calls (tight TP) at bottom of range 
12.) $PLTR - ER gap ",,,,,,,,,,,,
